Age;AmtWeekdays;AmtWeekends;EthnicityID;Ethnicity;Gender;GrossIncome;Qualification;MaritalStatus;NationalityID;Nationality;Region;Smoke;Type
38;NA;NA;7;White;Male;2600 to 5200;No Qualification;Divorced;1;British;The North;No;
42;12;12;7;White;Female;Under 2600;No Qualification;Single;1;British;The North;Yes;Packets
40;NA;NA;7;White;Male;28600 to 36400;Degree;Married;2;English;The North;No;
40;NA;NA;7;White;Female;10400 to 15600;Degree;Married;2;English;The North;No;
39;NA;NA;7;White;Female;2600 to 5200;GCSE/O Level;Married;1;British;The North;No;
37;NA;NA;7;White;Female;15600 to 20800;GCSE/O Level;Married;1;British;The North;No;
53;6;6;7;White;Male;Above 36400;Degree;Married;1;British;The North;Yes;Packets
44;NA;NA;7;White;Male;10400 to 15600;Degree;Single;2;English;The North;No;
40;8;8;7;White;Male;2600 to 5200;GCSE/CSE;Single;2;English;The North;Yes;Hand-Rolled
41;12;15;7;White;Female;5200 to 10400;No Qualification;Married;2;English;The North;Yes;Packets
72;NA;NA;7;White;Male;10400 to 15600;No Qualification;Widowed;2;English;The North;No;
49;NA;NA;7;White;Male;Refused;No Qualification;Married;1;British;The North;No;
29;NA;NA;7;White;Male;Above 36400;Degree;Married;2;English;The North;No;
79;NA;NA;7;White;Female;10400 to 15600;No Qualification;Widowed;2;English;The North;No;
25;NA;NA;7;White;Male;15600 to 20800;Degree;Single;2;English;The North;No;
27;NA;NA;7;White;Female;15600 to 20800;Degree;Single;2;English;The North;No;
30;NA;NA;7;White;Female;20800 to 28600;Degree;Single;2;English;The North;No;
47;NA;NA;7;White;Male;10400 to 15600;No Qualification;Divorced;1;British;The North;No;
69;NA;NA;7;White;Female;2600 to 5200;Other/Sub Degree;Single;2;English;The North;No;
55;NA;NA;7;White;Male;20800 to 28600;No Qualification;Married;2;English;The North;No;
34;12;6;7;White;Female;2600 to 5200;GCSE/CSE;Married;1;British;The North;Yes;Packets
36;2;5;7;White;Female;5200 to 10400;GCSE/O Level;Married;2;English;The North;Yes;Packets
56;20;20;7;White;Female;2600 to 5200;No Qualification;Married;2;English;The North;Yes;Packets
71;NA;NA;7;White;Male;Unknown;No Qualification;Divorced;2;English;The North;No;
38;NA;NA;7;White;Female;5200 to 10400;No Qualification;Married;2;English;The North;No;
79;NA;NA;7;White;Female;Under 2600;No Qualification;Married;2;English;The North;No;
58;20;25;7;White;Female;5200 to 10400;No Qualification;Divorced;2;English;The North;Yes;Packets
69;NA;NA;7;White;Female;Under 2600;No Qualification;Married;1;British;The North;No;
83;NA;NA;7;White;Male;2600 to 5200;No Qualification;Widowed;2;English;The North;No;
73;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;No;
42;15;40;7;White;Female;Refused;GCSE/O Level;Married;1;British;The North;Yes;Packets
31;15;15;7;White;Female;Under 2600;GCSE/CSE;Married;2;English;The North;Yes;Both/Mainly Packets
26;NA;NA;7;White;Male;2600 to 5200;GCSE/CSE;Single;2;English;The North;No;
27;NA;NA;7;White;Female;15600 to 20800;Degree;Separated;2;English;The North;No;
57;NA;NA;7;White;Female;10400 to 15600;Higher/Sub Degree;Married;2;English;The North;No;
30;NA;NA;7;White;Female;2600 to 5200;ONC/BTEC;Married;2;English;The North;No;
22;NA;NA;7;White;Female;5200 to 10400;A Levels;Single;2;English;The North;No;
78;20;20;7;White;Female;Under 2600;No Qualification;Widowed;2;English;The North;Yes;Packets
49;NA;NA;4;Mixed;Female;15600 to 20800;ONC/BTEC;Married;2;English;The North;No;
74;NA;NA;7;White;Male;15600 to 20800;Other/Sub Degree;Married;2;English;The North;No;
85;NA;NA;7;White;Male;20800 to 28600;Degree;Widowed;7;Scottish;The North;No;
75;NA;NA;7;White;Male;Refused;Other/Sub Degree;Married;2;English;The North;No;
80;NA;NA;7;White;Female;2600 to 5200;GCSE/O Level;Widowed;1;British;The North;No;
37;NA;NA;7;White;Female;Under 2600;Degree;Married;1;British;The North;No;
33;NA;NA;7;White;Female;10400 to 15600;Degree;Single;1;British;The North;No;
41;NA;NA;7;White;Male;15600 to 20800;A Levels;Divorced;2;English;The North;No;
81;NA;NA;7;White;Female;2600 to 5200;No Qualification;Widowed;1;British;The North;No;
76;6;6;7;White;Female;2600 to 5200;No Qualification;Widowed;2;English;The North;Yes;Packets
58;NA;NA;7;White;Female;10400 to 15600;A Levels;Married;1;British;The North;No;
59;25;25;7;White;Male;15600 to 20800;Other/Sub Degree;Married;2;English;The North;Yes;Packets
40;4;4;7;White;Female;5200 to 10400;GCSE/O Level;Divorced;2;English;The North;Yes;Packets
54;NA;NA;7;White;Female;10400 to 15600;GCSE/O Level;Divorced;1;British;The North;No;
49;NA;NA;7;White;Male;Above 36400;Degree;Married;6;Scottish;The North;No;
79;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;No;
28;20;20;7;White;Male;20800 to 28600;Other/Sub Degree;Married;1;British;The North;Yes;Packets
44;NA;NA;7;White;Male;5200 to 10400;Other/Sub Degree;Married;2;English;The North;No;
42;NA;NA;7;White;Female;10400 to 15600;GCSE/CSE;Single;1;British;The North;No;
36;NA;NA;7;White;Female;5200 to 10400;GCSE/CSE;Single;1;British;The North;No;
89;NA;NA;7;White;Male;5200 to 10400;No Qualification;Widowed;1;British;The North;No;
64;NA;NA;7;White;Female;2600 to 5200;No Qualification;Married;1;British;The North;No;
76;NA;NA;7;White;Female;Under 2600;No Qualification;Married;2;English;The North;No;
76;NA;NA;7;White;Female;Under 2600;No Qualification;Married;2;English;The North;No;
61;NA;NA;7;White;Female;2600 to 5200;No Qualification;Married;2;English;The North;No;
81;NA;NA;7;White;Female;5200 to 10400;GCSE/O Level;Widowed;2;English;The North;No;
20;10;20;7;White;Female;2600 to 5200;No Qualification;Single;1;British;The North;Yes;Packets
82;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;No;
23;10;20;7;White;Female;5200 to 10400;GCSE/O Level;Single;1;British;The North;Yes;Packets
41;NA;NA;7;White;Male;Above 36400;GCSE/O Level;Married;2;English;The North;No;
31;NA;NA;7;White;Female;15600 to 20800;A Levels;Single;1;British;The North;No;
44;0;5;7;White;Female;20800 to 28600;A Levels;Married;2;English;The North;Yes;Packets
42;NA;NA;7;White;Female;10400 to 15600;Degree;Married;6;Scottish;The North;No;
67;20;20;7;White;Male;5200 to 10400;No Qualification;Widowed;1;British;The North;Yes;Packets
53;NA;NA;7;White;Male;20800 to 28600;Degree;Married;2;English;The North;No;
